Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
31	2.6105843	2.1652968	8.479026	0.0017886278	-4.304825	8.398587	0.697986	-21.746607	33.29091	79.893265	368.0	0.0	103.8	275.97495	929.0	0.0	546.3273	1000.0	0.14545454	0.0	47242.0	0.049210416666666666	930001.0	76.81067	17.340523	121.296425	-147.66415	76.81097	17.335241	121.10465	-144.07584	0.8046941	3.734418	64.77655	-14.065609	-0.9797768	0.91176873	11.974713	-10.378953	-57.41031	2.9443507	2.9854484	0.12968631	2.9797769	0.0	1.0	-0.09330773	2.991343	20.569391	0.9797771	7.957964	109.83444	3286.7505583763123
32	3.048707	1.9273759	6.9860625	0.021253979	0.6110889	1.023171	3.1912403	-0.3127524	40.255814	128.07376	678.0	0.0	173.4	341.6598	870.0	0.0	692.093	1000.0	0.20930232	0.2	48973.0	0.049467676767676765	960001.0	75.41043	18.902327	125.28332	-124.41172	75.409805	18.90125	125.15557	-123.97996	0.7984474	3.6299894	56.516815	-13.873091	-0.94188625	0.9572124	10.169146	-10.97047	-55.345142	3.0644681	3.118417	0.1294604	2.9418862	0.0	1.0	0.05844588	3.0700355	22.069447	0.9418863	7.9690237	106.95815	3393.7077684402466
33	2.9005127	1.8222216	6.7300515	0.061462134	0.20478244	0.96243817	2.2585015	-0.991229	48.959183	128.99248	620.0	0.0	7.8	19.192709	64.0	0.0	599.9184	1000.0	0.1632653	0.2	51372.0	0.05036470588235294	990001.0	67.07971	22.202759	128.51329	-167.81682	67.079384	22.198322	128.15036	-167.58548	0.7975811	3.5935538	55.438015	-13.8551035	-0.8485316	1.0555035	9.547325	-12.0694475	-43.170086	3.1300364	3.2259228	0.12674737	2.8485315	0.0	1.0	0.07425347	3.1970904	27.099651	0.84853166	7.962309	108.47216	3502.181919336319
34	2.5165396	1.8766115	6.5972104	0.053368643	0.025481392	0.47561145	1.2760731	-0.57028437	30.051723	87.62506	459.0	0.0	81.1	236.38293	790.0	0.0	530.2069	1000.0	0.0862069	0.1	53115.0	0.05058571428571428	1020001.0	62.36381	25.43463	123.718834	-172.86133	62.363567	25.429628	123.96325	-169.52185	0.79519564	3.5423262	58.575535	-14.755244	-0.7510253	1.1911483	11.440377	-8.949443	-37.673145	3.6400912	3.7630656	0.12383709	2.7510252	0.0	1.0	0.07725799	3.064041	28.460604	0.7510253	8.033365	111.05178	3613.231009721756
35	3.1860774	2.4045334	10.914329	0.009985148	-0.22366783	0.93163306	0.7767716	-2.9000652	23.137255	76.09695	385.0	0.0	2.1	6.2999997	21.0	0.0	589.8823	1000.0	0.1764706	0.0	54295.0	0.05027314814814815	1050001.0	68.36381	25.88469	126.86804	-164.5828	68.36254	25.883797	126.67934	-166.09883	0.8025312	3.676827	57.459354	-16.125729	-0.8575853	1.0502777	11.354998	-10.450618	-46.942448	3.6255758	3.7350225	0.1296497	2.8575854	0.0	1.0	-0.011304492	3.0868435	23.689857	0.85758513	7.960963	109.153496	3722.3868091106415
36	3.1035717	2.000851	8.31746	0.13327628	-0.8591564	1.7869943	0.8420949	-5.3356204	51.02222	100.20368	455.0	0.0	107.0	282.97562	949.0	0.0	648.42224	1000.0	0.17777778	0.0	56591.0	0.050982882882882885	1080001.0	76.75585	23.9852	132.11583	-109.02446	76.755585	23.98233	131.90926	-106.68373	0.8062047	3.7567036	50.52732	-23.446272	-0.9323852	0.9696416	9.379044	-10.708248	-57.92579	3.6539364	3.7488608	0.13686883	2.9323852	0.0	1.0	-0.12117598	2.9348423	19.90455	0.93238527	8.047643	107.90677	3830.2923760414124
37	3.9346251	2.5199876	9.671632	0.04525345	-1.5766366	3.1427975	2.1495748	-7.877822	66.725	103.71137	347.0	0.0	1.5	4.5	15.0	0.0	768.625	1000.0	0.375	0.1	59260.0	0.05198245614035088	1110001.0	75.73726	25.902105	152.5894	-181.30072	75.736084	25.900887	153.89919	-174.23613	0.7929814	3.8226688	45.380814	-26.537025	-0.9050875	0.98346496	10.060795	-8.751543	-56.098076	4.293331	4.4317746	0.13848405	2.9050872	0.0	1.0	0.17887942	2.9884505	21.192493	0.90508735	7.9417915	105.977394	3936.2698686122894
38	3.5635877	2.3240917	8.944301	0.04014542	-0.23258772	1.4155011	1.4291538	-3.988183	38.717392	76.9242	374.0	0.0	12.8	16.981167	48.0	0.0	651.86957	1000.0	0.36956522	0.1	61041.0	0.05217179487179487	1140001.0	71.7652	23.0958	149.63158	-156.65561	71.76443	23.094658	150.37569	-158.23856	0.7973942	3.9596758	46.98244	-28.059269	-0.92143357	0.9719249	10.542095	-9.847478	-52.468037	4.00647	4.130367	0.14189628	2.921434	0.0	1.0	0.059171326	2.921136	20.146606	0.92143357	8.049473	108.20029	4044.4694316387177
39	3.0848143	2.6086009	12.94594	0.0476889	-0.9108121	1.4208561	0.21751834	-4.485375	25.387754	65.759865	341.0	0.0	83.2	238.42139	798.0	0.0	612.449	1000.0	0.30612245	0.0	62285.0	0.05190416666666667	1170001.0	74.82333	23.492645	122.20324	-143.1878	74.82263	23.489504	124.660416	-142.68614	0.80325365	4.2685833	41.155487	-28.638287	-0.93129116	0.9598239	10.580322	-9.616761	-55.72645	3.8596125	3.9824522	0.14605819	2.9312909	0.0	1.0	-0.028354473	2.8722844	18.822517	0.9312909	8.046571	109.62639	4154.094121456146
40	2.3113706	1.744829	6.010272	0.18962988	0.6677897	1.2946724	4.0135975	-0.45366985	34.649124	67.75536	284.0	0.0	89.9	250.80568	842.0	0.0	522.9298	1000.0	0.0877193	0.4	64260.0	0.05224390243902439	1200001.0	75.86948	22.71311	121.27544	-180.86823	75.867256	22.7159	121.37828	-177.99283	0.7983216	4.150176	42.747437	-28.309679	-0.95032835	0.92075074	11.120895	-9.268238	-58.61463	3.4581203	3.5548973	0.14119078	2.9503284	0.0	1.0	0.047133867	2.7961714	16.8669	0.9503284	8.113475	111.48973	4265.5885145664215
